AIRPORT,SEATS,OCCUPIED,TIME
LAX,200,179,WEEKDAY
JFK,200,161,WEEKDAY
LAX,200,184,WEEKDAY
YVR,200,164,WEEKDAY
LAX,250,222,REDEYE
JFK,250,218,REDEYE
LAX,250,232,REDEYE
YVR,250,224,REDEYE
LAX,450,355,WEEKDAY
JFK,450,362,WEEKDAY
LAX,450,411,WEEKDAY
YVR,450,394,WEEKDAY
LAX,200,172,REDEYE
JFK,200,186,REDEYE
LAX,200,184,REDEYE
YVR,200,167,REDEYE
LAX,250,214,WEEKDAY
JFK,250,222,WEEKDAY
LAX,250,239,WEEKDAY
YVR,250,208,WEEKDAY
LAX,450,372,REDEYE
JFK,450,384,REDEYE
LAX,450,397,REDEYE
YVR,450,388,REDEYE
LAX,200,178,WEEKDAY
JFK,200,170,WEEKDAY
LAX,200,183,WEEKDAY
YVR,200,165,WEEKDAY
LAX,250,205,REDEYE
JFK,250,221,REDEYE
LAX,250,232,REDEYE
YVR,250,225,REDEYE
LAX,450,344,WEEKDAY
JFK,450,362,WEEKDAY
LAX,450,380,WEEKDAY
YVR,450,397,WEEKDAY
LAX,200,179,REDEYE
JFK,200,174,REDEYE
LAX,200,184,REDEYE
YVR,200,178,REDEYE
LAX,250,214,WEEKDAY
JFK,250,204,WEEKDAY
LAX,250,231,WEEKDAY
YVR,250,212,WEEKDAY
LAX,450,377,REDEYE
JFK,450,413,REDEYE
LAX,450,376,REDEYE
YVR,450,407,REDEYE
LAX,200,162,WEEKEND
JFK,200,158,WEEKEND
LAX,200,180,WEEKEND
YVR,200,175,WEEKEND
LAX,250,214,WEEKEND
JFK,250,203,WEEKEND
LAX,250,227,WEEKEND
YVR,250,233,WEEKEND
LAX,450,376,WEEKEND
JFK,450,376,WEEKEND
LAX,450,414,WEEKEND
YVR,450,399,WEEKEND
LAX,200,167,WEEKEND
JFK,200,159,WEEKEND
LAX,200,188,WEEKEND
YVR,200,172,WEEKEND
LAX,250,226,WEEKEND
JFK,250,214,WEEKEND
LAX,250,228,WEEKEND
YVR,250,218,WEEKEND
LAX,450,384,WEEKEND
JFK,450,384,WEEKEND
LAX,450,420,WEEKEND
YVR,450,397,WEEKEND
LAX,200,163,WEEKDAY
JFK,200,175,WEEKDAY
LAX,200,182,WEEKDAY
YVR,200,177,WEEKDAY
LAX,250,203,REDEYE
JFK,250,215,REDEYE
LAX,250,234,REDEYE
YVR,250,212,REDEYE
LAX,450,367,WEEKDAY
JFK,450,369,WEEKDAY
LAX,450,408,WEEKDAY
YVR,450,387,WEEKDAY
LAX,200,181,REDEYE
JFK,200,179,REDEYE
LAX,200,190,REDEYE
YVR,200,174,REDEYE
LAX,250,212,WEEKDAY
JFK,250,205,WEEKDAY
LAX,250,231,WEEKDAY
YVR,250,209,WEEKDAY
LAX,450,353,REDEYE
JFK,450,405,REDEYE
LAX,450,410,REDEYE
YVR,450,394,REDEYE
LAX,200,171,WEEKDAY
JFK,200,163,WEEKDAY
LAX,200,186,WEEKDAY
YVR,200,176,WEEKDAY
LAX,250,204,REDEYE
JFK,250,227,REDEYE
LAX,250,239,REDEYE
YVR,250,226,REDEYE
LAX,450,353,WEEKDAY
JFK,450,392,WEEKDAY
LAX,450,397,WEEKDAY
YVR,450,388,WEEKDAY
LAX,200,171,REDEYE
JFK,200,184,REDEYE
LAX,200,196,REDEYE
YVR,200,179,REDEYE
LAX,250,215,WEEKDAY
JFK,250,222,WEEKDAY
LAX,250,239,WEEKDAY
YVR,250,227,WEEKDAY
LAX,450,354,REDEYE
JFK,450,404,REDEYE
LAX,450,379,REDEYE
YVR,450,400,REDEYE
LAX,200,167,WEEKEND
JFK,200,168,WEEKEND
LAX,200,179,WEEKEND
YVR,200,181,WEEKEND
LAX,250,208,WEEKEND
JFK,250,219,WEEKEND
LAX,250,245,WEEKEND
YVR,250,222,WEEKEND
LAX,450,364,WEEKEND
JFK,450,391,WEEKEND
LAX,450,385,WEEKEND
YVR,450,392,WEEKEND
LAX,200,168,WEEKEND
JFK,200,170,WEEKEND
LAX,200,177,WEEKEND
YVR,200,189,WEEKEND
LAX,250,203,WEEKEND
JFK,250,207,WEEKEND
LAX,250,227,WEEKEND
YVR,250,218,WEEKEND
LAX,450,381,WEEKEND
JFK,450,369,WEEKEND
LAX,450,397,WEEKEND
YVR,450,413,WEEKEND
LAX,200,173,WEEKDAY
JFK,200,160,WEEKDAY
LAX,200,195,WEEKDAY
YVR,200,171,WEEKDAY
LAX,250,219,REDEYE
JFK,250,231,REDEYE
LAX,250,231,REDEYE
YVR,250,204,REDEYE
LAX,450,351,WEEKDAY
JFK,450,362,WEEKDAY
LAX,450,408,WEEKDAY
YVR,450,375,WEEKDAY
LAX,200,182,REDEYE
JFK,200,183,REDEYE
LAX,200,193,REDEYE
YVR,200,179,REDEYE
LAX,250,224,WEEKDAY
JFK,250,211,WEEKDAY
LAX,250,223,WEEKDAY
YVR,250,216,WEEKDAY
LAX,450,348,REDEYE
JFK,450,422,REDEYE
LAX,450,403,REDEYE
YVR,450,407,REDEYE
LAX,200,169,WEEKDAY
JFK,200,173,WEEKDAY
LAX,200,196,WEEKDAY
YVR,200,180,WEEKDAY
LAX,250,221,REDEYE
JFK,250,235,REDEYE
LAX,250,234,REDEYE
YVR,250,205,REDEYE
LAX,450,375,WEEKDAY
JFK,450,363,WEEKDAY
LAX,450,399,WEEKDAY
YVR,450,396,WEEKDAY
LAX,200,181,REDEYE
JFK,200,178,REDEYE
LAX,200,183,REDEYE
YVR,200,163,REDEYE
LAX,250,213,WEEKDAY
JFK,250,212,WEEKDAY
LAX,250,244,WEEKDAY
YVR,250,213,WEEKDAY
LAX,450,380,REDEYE
JFK,450,393,REDEYE
LAX,450,419,REDEYE
YVR,450,385,REDEYE
LAX,200,176,WEEKEND
JFK,200,168,WEEKEND
LAX,200,178,WEEKEND
YVR,200,191,WEEKEND
LAX,250,210,WEEKEND
JFK,250,207,WEEKEND
LAX,250,234,WEEKEND
YVR,250,230,WEEKEND
LAX,450,369,WEEKEND
JFK,450,380,WEEKEND
LAX,450,394,WEEKEND
YVR,450,396,WEEKEND
LAX,200,180,WEEKEND
JFK,200,158,WEEKEND
LAX,200,190,WEEKEND
YVR,200,182,WEEKEND
LAX,250,224,WEEKEND
JFK,250,209,WEEKEND
LAX,250,224,WEEKEND
YVR,250,228,WEEKEND
LAX,450,366,WEEKEND
JFK,450,377,WEEKEND
LAX,450,387,WEEKEND
YVR,450,397,WEEKEND
LAX,200,174,WEEKDAY
JFK,200,164,WEEKDAY
LAX,200,182,WEEKDAY
YVR,200,169,WEEKDAY
LAX,250,204,REDEYE
JFK,250,220,REDEYE
LAX,250,233,REDEYE
YVR,250,225,REDEYE
LAX,450,354,WEEKDAY
JFK,450,392,WEEKDAY
